rxn.number,site,e.donor,e.acceptor,e.transfer,LogK,logQ,deltaG,energy_density
45,D5,pyrite,NO3-,16,135.1101713570958,-27.867899999999995,-55.282746487139264,-3.2687103890314795
45,D6,pyrite,NO3-,16,140.36051509595075,-21.658799999999996,-54.957532923826776,-3.7129727712472116
46,D1,siderite,CO,6,-83.56281742358536,-58.711895711008886,22.478724793152704,NA
46,D2,siderite,CO,6,-83.08259030772946,-60.76252912566344,20.189452869431424,NA
46,D3,siderite,CO,6,-82.23999224512549,-54.75562587041819,24.860788464782154,NA
46,D4,siderite,CO,6,-80.91346314847162,-59.45412211509587,19.410894570061043,NA
46,D5,siderite,CO,6,-79.12042407134221,-63.06340913152776,14.524258858735472,NA
46,D6,siderite,CO,6,-81.118414479919,-65.57044250943932,14.06380765503727,NA
47,D1,siderite,NO3-,2,-8.009953980755455,-21.4417,-36.44877148826116,-4.127647100729068
47,D2,siderite,NO3-,2,-7.985738528381518,-22.2266,-38.6444104013961,-4.084343310019795
47,D3,siderite,NO3-,2,-7.945493966165969,-20.3765,-33.733134742663644,-4.200973294611658
47,D4,siderite,NO3-,2,-7.888048430911482,-22.976300000000002,-40.943912489944225,-3.510840655344175
47,D5,siderite,NO3-,2,-7.822438571351768,-23.2022,-41.73496201116386,-3.6918299731387947
47,D6,siderite,NO3-,2,-7.896442240423852,-24.604499999999998,-45.33946505680813,-4.09755360391951
48,D1,siderite,SO4-2,8,-113.80199328711399,-75.8843,25.723635184953494,NA
48,D2,siderite,SO4-2,8,-113.05396212624305,-79.5372,22.738011908792583,NA
